album_id,artist_id,album_name,album_popularity,releaste_date
64eE6FnNj7UJ9LEkN4EbvS,4O15NlyKLIASxsJ0PrXPfz,New Patek,65,2018-09-18
7hVFsGvQ1apmp4EAldMwID,0Y5tJX1MQlPlqiwlOH1tJY,Watch (feat. Lil Uzi Vert & Kanye West),61,2018-05-04
51HrCduoCfmUtzrYHf7onw,4O15NlyKLIASxsJ0PrXPfz,Sauce It Up,39,2018-02-16
0KaQCJshy3j3TKCu59Yh6X,77AiFEVeAVj2ORpC85QVJs,Smoke My Dope (with Steve Aoki & Lil Uzi Vert) (From Bright: The Album),33,2017-12-15
6x8tzop53PDl2tvjIXB9a0,4O15NlyKLIASxsJ0PrXPfz,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) [Remix],53,2017-11-03
749Tz64P7CRASs0uiKIEGU,1ZLO8d7zll1WeQJUHaxQer,Zambamafoo,39,2017-07-31
7ud6EsFurWtzF3lzB8YqNI,4O15NlyKLIASxsJ0PrXPfz,Go Off,47,2017-03-03
2LLktilGbQD95Bqt6ZXJX7,713RoDl16muftBPRdCXGAX,We Rollin (feat. Lil Uzi Vert & Rome Fortune),23,2016-04-22
1kLcxp6VxnDTXgAPCFTeiy,4O15NlyKLIASxsJ0PrXPfz,Money Longer,31,2016-04-01
3TBDsoyXYFtAciT0bQjKDl,4O15NlyKLIASxsJ0PrXPfz,Count Dem Rolls (feat. Uzi Gang),36,2014
1GYVNOzwhx1nMcIJDogSNp,4MCBfE4596Uoi2O4DtmEMz,Death Race For Love,84,2019-03-08
6tkjU4Umpo79wwkgPMV3nZ,4MCBfE4596Uoi2O4DtmEMz,Goodbye & Good Riddance,87,2018-12-10
6P9PZjWXoCRF5b66BafPKY,1RyvyyTE3xzB2ZywiAwp0i,Future & Juice WRLD Present... WRLD ON DRUGS,76,2018-10-19
3t6Z2qoBVCS4NHNI25XECH,4MCBfE4596Uoi2O4DtmEMz,Bandit (with YoungBoy Never Broke Again),84,2019-10-04
712EvYeDkxcCJxkee5yWkb,4MCBfE4596Uoi2O4DtmEMz,Bandit (with YoungBoy Never Broke Again),54,2019-10-04
4cTqOOMaNXSWeskyib4pZ4,0X2BH1fck6amBIoJhDVmmJ,Hate Me (Snakehips Remix),49,2019-09-25
669dgT2kmrAMrrPaEEHWyE,5CiGnKThu5ctn9pBxv7DGa,Graduation (with Juice WRLD),72,2019-08-30
6e6RVFWdZaoTiLAZOCMnps,0X2BH1fck6amBIoJhDVmmJ,Hate Me (R3HAB Remix),59,2019-08-16
29FoTD5vBY3Fq1QWhbl3FM,0X2BH1fck6amBIoJhDVmmJ,Hate Me (with Juice WRLD),79,2019-06-26
53dPHVEHHiHZusK0l4q26R,3Nrfpe0tUJi4K4DXYWgMUX,All Night (BTS World Original Soundtrack) [Pt. 3],60,2019-06-21
6JFsisjpUarmCfG3lrfP4Q,26VFTg2z8YR0cCuwLzESi2,Without Me (with Juice WRLD),62,2019-01-09
1L5crFW0oLBfmg007gKzxx,5CiGnKThu5ctn9pBxv7DGa,Roses (with Juice WRLD feat. Brendon Urie),65,2018-12-05
7zfsq2Hboh0SZMcWo2ASkD,4MCBfE4596Uoi2O4DtmEMz,Legends,67,2018-06-22
2Md4nsKyIDbWFYrlvS9rKL,4MCBfE4596Uoi2O4DtmEMz,Rich And Blind,64,2018-06-22
2FJ7ofXR92xTsE0v0kw8vL,0LyfQWJT6nXafLPZqxe9Of,GH VIP 2019,34,2019-10-24
0zAXq7CQ2iF2P5Ud2ZpDKa,7uC8yor207bUZeH2sPLI6Q,The Winners,33,2019-09-27
4462gjWz3403IpdzqHBHvl,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,58,2019-09-06
1I6FpscJIfwf4T56VxGVsB,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,90,2019-08-30
1bnHPO4dKK7IjvgrtVBcQh,50co4Is1HCEo8bhOyUWKpn,So Much Fun,88,2019-08-16
3LgNJmZ4QPkSvdt9JB8Tb8,0LyfQWJT6nXafLPZqxe9Of,BTS WORLD (Original Soundtrack),67,2019-06-28
2DjfazR5N3TgXBQ7oVALA1,0VRj0yCOv2FXJNP47XQnx5,QUAVO HUNCHO,72,2018-10-12
